Martin packaging metrics,domingo, 5 dez 2021 21:19:11 WET
Package,A,Ca,Ce,D,I
"org.jabref.architecture","1,00",0,0,"0,00","1,00"
"org.jabref.cli","0,00",16,463,"0,03","0,97"
"org.jabref.gui","0,05",2 253,1 901,"0,49","0,44"
"org.jabref.gui.actions","0,29",1 106,865,"0,28","0,44"
"org.jabref.gui.autocompleter","0,15",151,105,"0,44","0,45"
"org.jabref.gui.auximport","0,00",3,70,"0,04","0,96"
"org.jabref.gui.bibtexextractor","0,00",2,108,"0,02","0,98"
"org.jabref.gui.citationkeypattern","0,00",7,207,"0,03","0,97"
"org.jabref.gui.cleanup","0,00",2,223,"0,01","0,99"
"org.jabref.gui.collab","0,12",6,375,"0,11","0,98"
"org.jabref.gui.commonfxcontrols","0,00",53,223,"0,19","0,81"
"org.jabref.gui.contentselector","0,00",1,122,"0,01","0,99"
"org.jabref.gui.copyfiles","0,00",2,140,"0,01","0,99"
"org.jabref.gui.customentrytypes","0,00",1,176,"0,01","0,99"
"org.jabref.gui.desktop","0,00",58,133,"0,30","0,70"
"org.jabref.gui.desktop.os","0,20",20,41,"0,13","0,67"
"org.jabref.gui.dialogs","0,00",7,30,"0,19","0,81"
"org.jabref.gui.documentviewer","0,25",5,74,"0,19","0,93"
"org.jabref.gui.duplicationFinder","0,00",57,155,"0,27","0,86"
"org.jabref.gui.edit","0,00",47,445,"0,10","0,90"
"org.jabref.gui.entryeditor","0,09",58,757,"0,02","0,93"
"org.jabref.gui.entryeditor.fileannotationtab","0,00",2,181,"0,01","0,99"
"org.jabref.gui.errorconsole","0,00",1,78,"0,01","0,99"
"org.jabref.gui.exporter","0,00",63,541,"0,10","0,91"
"org.jabref.gui.externalfiles","0,00",37,560,"0,06","0,94"
"org.jabref.gui.externalfiletype","0,10",228,189,"0,45","0,45"
"org.jabref.gui.fieldeditors","0,11",92,1 450,"0,05","0,94"
"org.jabref.gui.fieldeditors.contextmenu","0,00",19,133,"0,12","0,87"
"org.jabref.gui.groups","0,00",42,883,"0,05","0,95"
"org.jabref.gui.help","0,00",31,143,"0,18","0,82"
"org.jabref.gui.icon","0,12",947,4,"0,87","0,01"
"org.jabref.gui.importer","0,00",76,642,"0,11","0,89"
"org.jabref.gui.importer.actions","0,20",15,140,"0,10","0,90"
"org.jabref.gui.importer.fetcher","0,00",4,169,"0,02","0,98"
"org.jabref.gui.integrity","0,00",1,89,"0,01","0,99"
"org.jabref.gui.journals","0,00",4,130,"0,03","0,97"
"org.jabref.gui.keyboard","0,00",370,277,"0,57","0,43"
"org.jabref.gui.libraryproperties","0,00",1,152,"0,01","0,99"
"org.jabref.gui.linkedfile","0,00",2,116,"0,02","0,98"
"org.jabref.gui.logging","0,00",0,7,"0,00","1,00"
"org.jabref.gui.maintable","0,00",434,848,"0,34","0,71"
"org.jabref.gui.maintable.columns","0,00",30,299,"0,09","0,91"
"org.jabref.gui.menus","0,00",12,87,"0,12","0,88"
"org.jabref.gui.mergeentries","0,00",33,427,"0,07","0,93"
"org.jabref.gui.metadata","0,00",2,81,"0,02","0,98"
"org.jabref.gui.openoffice","0,00",1,834,"0,00","1,00"
"org.jabref.gui.preferences","0,38",382,204,"0,28","0,35"
"org.jabref.gui.preferences.appearance","0,00",1,102,"0,01","0,99"
"org.jabref.gui.preferences.citationkeypattern","0,00",1,99,"0,01","0,99"
"org.jabref.gui.preferences.customexporter","0,00",1,55,"0,02","0,98"
"org.jabref.gui.preferences.customimporter","0,00",1,103,"0,01","0,99"
"org.jabref.gui.preferences.entryeditor","0,00",1,82,"0,01","0,99"
"org.jabref.gui.preferences.entryeditortabs","0,00",1,49,"0,02","0,98"
"org.jabref.gui.preferences.external","0,00",1,99,"0,01","0,99"
"org.jabref.gui.preferences.file","0,00",1,42,"0,02","0,98"
"org.jabref.gui.preferences.general","0,00",1,129,"0,01","0,99"
"org.jabref.gui.preferences.groups","0,00",1,33,"0,03","0,97"
"org.jabref.gui.preferences.importexport","0,00",1,71,"0,01","0,99"
"org.jabref.gui.preferences.journals","0,00",1,144,"0,01","0,99"
"org.jabref.gui.preferences.keybindings","0,00",33,96,"0,26","0,74"
"org.jabref.gui.preferences.keybindings.presets","0,33",11,69,"0,20","0,86"
"org.jabref.gui.preferences.linkedfiles","0,00",1,90,"0,01","0,99"
"org.jabref.gui.preferences.nameformatter","0,00",1,53,"0,02","0,98"
"org.jabref.gui.preferences.network","0,00",1,146,"0,01","0,99"
"org.jabref.gui.preferences.preview","0,00",1,301,"0,00","1,00"
"org.jabref.gui.preferences.protectedterms","0,00",1,210,"0,00","0,99"
"org.jabref.gui.preferences.table","0,00",1,277,"0,00","1,00"
"org.jabref.gui.preferences.xmp","0,00",1,112,"0,01","0,99"
"org.jabref.gui.preview","0,00",47,253,"0,16","0,84"
"org.jabref.gui.push","0,14",39,236,"0,00","0,86"
"org.jabref.gui.remote","0,00",2,13,"0,13","0,87"
"org.jabref.gui.search","0,10",31,305,"0,01","0,91"
"org.jabref.gui.search.rules.describer","0,20",16,184,"0,12","0,85"
"org.jabref.gui.shared","0,00",6,369,"0,02","0,98"
"org.jabref.gui.sidepane","0,20",88,43,"0,47","0,31"
"org.jabref.gui.slr","0,00",2,141,"0,01","0,99"
"org.jabref.gui.specialfields","0,00",133,219,"0,38","0,62"
"org.jabref.gui.texparser","0,00",4,187,"0,02","0,98"
"org.jabref.gui.undo","0,00",193,241,"0,44","0,56"
"org.jabref.gui.util","0,04",1 950,201,"0,87","0,11"
"org.jabref.gui.util.comparator","0,00",3,12,"0,20","0,80"
"org.jabref.gui.util.component","0,00",4,16,"0,20","0,80"
"org.jabref.gui.util.uithreadaware","0,00",5,0,"1,00","0,00"
"org.jabref.logic","0,00",52,17,"0,75","0,25"
"org.jabref.logic.autosaveandbackup","0,00",40,57,"0,41","0,59"
"org.jabref.logic.auxparser","0,33",40,40,"0,17","0,50"
"org.jabref.logic.bibtex","0,00",145,122,"0,54","0,46"
"org.jabref.logic.bibtex.comparator","0,00",94,258,"0,27","0,73"
"org.jabref.logic.bst","0,10",4,76,"0,05","0,95"
"org.jabref.logic.citationkeypattern","0,12",245,211,"0,41","0,49"
"org.jabref.logic.citationstyle","0,00",71,66,"0,52","0,34"
"org.jabref.logic.cleanup","0,09",524,491,"0,43","0,52"
"org.jabref.logic.crawler","0,00",6,177,"0,03","0,97"
"org.jabref.logic.database","0,00",37,197,"0,16","0,84"
"org.jabref.logic.exporter","0,08",278,1 257,"0,10","0,82"
"org.jabref.logic.externalfiles","0,00",18,50,"0,26","0,74"
"org.jabref.logic.formatter","0,00",12,50,"0,19","0,81"
"org.jabref.logic.formatter.bibtexfields","0,00",101,172,"0,37","0,63"
"org.jabref.logic.formatter.casechanger","0,00",41,43,"0,49","0,51"
"org.jabref.logic.formatter.minifier","0,00",3,10,"0,23","0,77"
"org.jabref.logic.git","0,00",33,2,"0,94","0,06"
"org.jabref.logic.groups","0,00",12,6,"0,67","0,33"
"org.jabref.logic.help","0,00",92,0,"1,00","0,00"
"org.jabref.logic.importer","0,48",2 077,316,"0,38","0,13"
"org.jabref.logic.importer.fetcher","0,02",165,1 646,"0,07","0,92"
"org.jabref.logic.importer.fetcher.transformers","0,21",64,20,"0,55","0,24"
"org.jabref.logic.importer.fileformat","0,00",301,2 707,"0,10","0,90"
"org.jabref.logic.importer.util","0,00",53,459,"0,10","0,90"
"org.jabref.logic.integrity","0,08",77,427,"0,08","0,85"
"org.jabref.logic.journals","0,00",165,0,"1,00","0,00"
"org.jabref.logic.l10n","0,00",4 109,0,"1,00","0,00"
"org.jabref.logic.layout","0,30",584,147,"0,50","0,20"
"org.jabref.logic.layout.format","0,00",140,320,"0,30","0,70"
"org.jabref.logic.logging","0,00",11,0,"1,00","0,00"
"org.jabref.logic.msbib","0,00",6,350,"0,02","0,98"
"org.jabref.logic.net","0,00",164,4,"0,98","0,02"
"org.jabref.logic.openoffice","0,00",109,29,"0,79","0,21"
"org.jabref.logic.openoffice.action","0,00",0,211,"0,00","1,00"
"org.jabref.logic.openoffice.backend","0,00",15,212,"0,07","0,93"
"org.jabref.logic.openoffice.frontend","0,00",40,265,"0,13","0,87"
"org.jabref.logic.openoffice.style","0,00",142,492,"0,22","0,77"
"org.jabref.logic.pdf","0,20",13,55,"0,01","0,81"
"org.jabref.logic.pdf.search.indexing","0,00",32,119,"0,21","0,79"
"org.jabref.logic.pdf.search.retrieval","0,00",12,14,"0,46","0,54"
"org.jabref.logic.preferences","0,00",119,3,"0,98","0,02"
"org.jabref.logic.preview","1,00",126,2,"0,02","0,02"
"org.jabref.logic.protectedterms","0,00",96,10,"0,91","0,09"
"org.jabref.logic.remote","0,00",27,0,"1,00","0,00"
"org.jabref.logic.remote.client","0,00",23,24,"0,49","0,51"
"org.jabref.logic.remote.server","0,25",52,30,"0,38","0,37"
"org.jabref.logic.remote.shared","0,00",36,0,"1,00","0,00"
"org.jabref.logic.search","0,33",68,51,"0,24","0,43"
"org.jabref.logic.shared","0,29",141,246,"0,08","0,64"
"org.jabref.logic.shared.event","0,00",19,15,"0,56","0,44"
"org.jabref.logic.shared.exception","0,00",18,9,"0,67","0,33"
"org.jabref.logic.shared.listener","0,00",5,8,"0,38","0,62"
"org.jabref.logic.shared.prefs","0,00",44,15,"0,75","0,25"
"org.jabref.logic.shared.security","0,00",8,0,"1,00","0,00"
"org.jabref.logic.texparser","0,33",7,67,"0,24","0,91"
"org.jabref.logic.undo","0,00",5,0,"1,00","0,00"
"org.jabref.logic.util","0,08",2 181,170,"0,85","0,07"
"org.jabref.logic.util.io","0,08",225,65,"0,70","0,25"
"org.jabref.logic.util.strings","0,00",114,16,"0,88","0,12"
"org.jabref.logic.xmp","0,00",78,197,"0,28","0,72"
"org.jabref.migrations","0,14",16,465,"0,11","0,97"
"org.jabref.model","0,67",351,8,"0,31","0,02"
"org.jabref.model.database","0,00",2 775,200,"0,93","0,07"
"org.jabref.model.database.event","0,00",43,16,"0,73","0,27"
"org.jabref.model.entry","0,00",10 388,642,"0,94","0,06"
"org.jabref.model.entry.event","0,20",116,22,"0,64","0,16"
"org.jabref.model.entry.field","0,08",13 210,18,"0,92","0,00"
"org.jabref.model.entry.identifier","0,14",221,20,"0,77","0,08"
"org.jabref.model.entry.types","0,09",2 155,3 133,"0,32","0,59"
"org.jabref.model.groups","0,26",901,215,"0,54","0,17"
"org.jabref.model.groups.event","0,00",2,4,"0,33","0,67"
"org.jabref.model.metadata","0,00",577,57,"0,91","0,09"
"org.jabref.model.metadata.event","0,00",3,5,"0,38","0,62"
"org.jabref.model.openoffice","0,00",25,0,"1,00","0,00"
"org.jabref.model.openoffice.backend","1,00",27,9,"0,25","0,25"
"org.jabref.model.openoffice.ootext","0,00",209,95,"0,69","0,28"
"org.jabref.model.openoffice.rangesort","0,15",50,54,"0,33","0,52"
"org.jabref.model.openoffice.style","0,30",556,82,"0,57","0,13"
"org.jabref.model.openoffice.uno","0,00",241,0,"1,00","0,00"
"org.jabref.model.openoffice.util","0,00",121,0,"1,00","0,00"
"org.jabref.model.paging","0,00",23,0,"1,00","0,00"
"org.jabref.model.pdf","0,00",132,0,"1,00","0,00"
"org.jabref.model.pdf.search","0,00",79,5,"0,94","0,06"
"org.jabref.model.push","0,00",34,0,"1,00","0,00"
"org.jabref.model.search","0,50",35,17,"0,17","0,33"
"org.jabref.model.search.matchers","0,17",33,19,"0,47","0,43"
"org.jabref.model.search.rules","0,09",451,114,"0,71","0,34"
"org.jabref.model.strings","0,00",525,0,"1,00","0,00"
"org.jabref.model.study","0,00",92,3,"0,97","0,03"
"org.jabref.model.texparser","0,00",218,6,"0,97","0,03"
"org.jabref.model.util","0,22",349,6,"0,76","0,02"
"org.jabref.preferences","0,05",1 806,848,"0,63","0,32"
"org.jabref.styletester","0,00",0,14,"0,00","1,00"

